facility_id,lat,lon,geo_source
FA0321556,33.865542873639,-118.327166510068,census
FA0320221,34.220540695317,-118.552204245801,census
FA0290755,34.085191111024,-118.211388272028,census
FA0321554,33.943750883321,-117.999373199278,census
FA0276469,34.047694025581,-118.435109633347,census
FA0308570,33.986384795181,-117.87323112839,census
FA0260072,33.865724462122,-118.092672973638,census
FA0252459,34.146492319114,-118.247035407918,census
FA0251128,34.039475949392,-118.429977987993,census
FA0226190,33.990410822963,-117.924590347914,census
FA0252439,34.073278117749,-118.37606201688,census
FA0036755,34.69781789101,-118.141610587452,census
FA0057670,33.932540704338,-118.138250572993,census
FA0010142,33.9549263875,-118.129065452784,census
FA0174520,34.031132995748,-118.128906409403,census
FA0072406,34.219762463996,-118.467248649799,census
FA0321545,33.970563835245,-118.065766203535,census
FA0275143,34.139725414956,-117.978451897656,census
FA0325903,34.257309331627,-118.580018734365,census
FA0276474,33.737902476903,-118.28581191801,census
FA0321547,34.033350162486,-118.15712371418,census
FA0275146,33.943341011233,-118.198190455918,census
FA0044365,33.978551226154,-118.163059968261,census
FA0223909,34.445029137835,-118.506892859412,census
FA0252446,34.09793184918,-118.347984450302,census
FA0057668,33.871469352468,-118.27172802262,census
FA0243550,33.858455356442,-118.090070094194,census
FA0011429,33.975484798411,-118.357683765602,census
FA0223944,33.898709571017,-118.005262913483,census
FA0297339,34.71857496131,-118.150405353837,census
FA0137546,34.088416227582,-118.376357116579,census
FA0006078,34.053404680081,-118.256002725874,census
FA0003803,33.997527149625,-117.813230332544,census
FA0044357,34.422791649221,-118.562646831316,census
FA0170132,34.1882306318,-118.448785114067,census
FA0320209,34.019743027197,-118.454287253651,census
FA0023415,33.769339697666,-118.368409003136,census
FA0320204,33.985029961653,-118.185818145157,census
FA0321535,33.888472988234,-118.236370395479,census
FA0307220,34.201287141761,-118.604326623103,census
FA0158481,34.026934925134,-118.383339049713,census
FA0308553,34.60183132467,-118.15268253886,census
FA0276407,34.243053493828,-118.536020438408,census
FA0276408,33.960465208497,-118.10920784131,census
FA0328156,33.784577182194,-118.250434685796,census
FA0138882,34.062775428124,-118.059735046952,census
FA0243560,33.988923621025,-118.335113990474,census
FA0310883,34.062987424827,-118.134304779082,census
FA0031043,33.831495874701,-118.278531785811,census
FA0247923,34.15214784315,-118.346646812639,census
FA0243566,33.987878958626,-118.192158748138,census
FA0321527,33.816643720437,-118.379667007797,census
FA0321528,34.036315023214,-118.184569656328,census
FA0267509,34.697746841307,-118.142251508869,census
FA0285366,33.998593835062,-117.843353782866,census
FA0276413,34.063524361734,-118.29799587106,census
FA0276416,34.057780151306,-118.32667154121,census
FA0061780,34.083519373367,-118.35051440602,census
FA0011407,34.088688254829,-118.276457632709,census
FA0163853,33.999255765495,-118.056535744625,census
FA0031018,33.995432099175,-118.28274393787,census
FA0011409,34.083725531508,-118.134608539457,census
FA0308535,33.972949924153,-118.037432131897,census
FA0058974,34.161292507925,-118.309795547077,census
FA0064816,34.18660529193,-118.447392246691,census
FA0222635,34.601917317138,-118.147590092951,census
FA0222637,33.86083175407,-118.082036874512,census
FA0064812,34.015677913443,-118.334812176044,census
FA0032340,34.10246999425,-118.110306765157,census
FA0243535,33.929681422826,-118.352406743991,census
FA0073771,33.738809472689,-118.287411133183,census
FA0290718,34.024870263109,-118.393941445767,census
FA0251161,34.039443173442,-118.430047473015,census
FA0256851,34.078566242038,-117.888335736807,census
FA0321512,33.72689043899,-118.287891305586,census
FA0276421,34.069532851519,-118.375099361139,census
FA0011410,34.076221442772,-118.344606503793,census
FA0011412,34.087081936224,-118.376377231632,census
FA0252497,34.083670933155,-118.352467821189,census
FA0307202,33.870154087444,-118.082315710176,census
FA0011415,34.646631008239,-118.218363351564,census
FA0006095,34.004660691751,-118.434224106663,census
FA0307217,34.087253791132,-117.960302451656,census
FA0307216,34.149660588648,-118.431295505795,census
FA0310866,34.079583515499,-118.103991210077,census
FA0307218,34.645658209903,-118.219351998416,census
FA0003811,33.736608606932,-118.292404456975,census
FA0003812,33.917175941665,-118.05493129769,census
FA0175803,33.896158454391,-118.197461859999,census
FA0252480,34.039826839339,-118.326700696467,census
FA0023407,34.028258362197,-118.269287491886,census
FA0242209,33.86235744257,-118.082077576247,census
FA0046986,34.66824078255,-118.131855326223,census
FA0321503,34.224703901807,-118.467762984996,census
FA0290721,34.042090207453,-118.263110817916,census
FA0011421,33.993234622341,-118.282741132484,census
FA0288411,34.098931546333,-118.329446241638,census
FA0041292,34.413031174714,-118.558970745473,census
FA0011423,33.952652783493,-118.35279154584,census
FA0011424,33.730470589084,-118.292297122678,census
FA0308544,34.140389381222,-118.385334094912,census
FA0328136,33.958007204303,-118.231793091586,census
FA0310836,33.884606514931,-118.125182391512,census
FA0222655,34.116165191687,-118.262518122874,census
FA0328123,33.980051255704,-118.33526089865,census
FA0308512,34.059269958971,-118.239771547317,census
FA0164328,34.013326989354,-118.159492080326,census
FA0141687,34.114757002594,-118.244046855152,census
FA0002598,34.184628413932,-118.337252545317,census
FA0002596,34.193327244782,-118.448787035715,census
FA0243598,34.672786446991,-118.165838249817,census
FA0005628,34.107718922181,-118.19672860679,census
FA0138030,34.057754124715,-117.751302945201,census
FA0328128,33.81808879609,-118.275195478845,census
FA0310827,34.219858303437,-118.58951852236,census
FA0002582,34.063077401274,-118.361812731679,census
FA0328113,33.977025135559,-118.129365301288,census
FA0002583,33.982411904234,-118.186353289694,census
FA0263196,33.995896988164,-117.968292771088,census
FA0325084,33.867241380601,-118.265919877338,census
FA0292530,34.101540236106,-118.331106741357,census
FA0002584,34.226868781625,-118.433342718844,census
FA0005619,33.990670382865,-118.395266265058,census
FA0005618,33.989182450411,-118.31008020455,census
FA0222642,34.030428140275,-117.913139711494,census
FA0177656,34.133350339764,-118.356990879547,census
FA0031916,34.062403911811,-118.133224609818,census
FA0177651,34.034564050474,-117.807060908052,census
FA0328117,33.892051638921,-118.309067202723,census
FA0310838,34.021139178044,-118.398207477757,census
FA0047496,34.660285369294,-118.179136343963,census
FA0328115,34.037154726336,-118.203876927497,census
FA0263183,34.125280122005,-118.231694693844,census
FA0310810,34.104037719513,-118.32868712738,census
FA0242240,33.979176323618,-118.225106727611,census
FA0058133,34.201348436945,-118.48282253964,census
FA0004317,34.127030428297,-117.890185801155,census
FA0005648,33.81093403781,-118.292300511052,census
FA0004316,34.049712913605,-117.944900918525,census
FA0280555,34.255890448002,-118.536163567372,census
FA0004319,34.577661061142,-118.093993444579,census
FA0069634,34.098927398239,-118.291692341231,census
FA0177620,34.089938598095,-118.015062493684,census
FA0313082,34.172814057521,-118.379493658798,census
FA0070612,33.780288408002,-118.257736610473,census
FA0328109,34.106589681539,-118.203400747802,census
FA0291204,33.949017517428,-118.352475155816,census
FA0328105,33.923599913792,-118.282527186091,census
FA0291208,33.974069980205,-118.22328834924,census
FA0310825,33.984696410866,-118.100068374488,census
FA0222665,34.235406847769,-118.586172859027,census
FA0243584,34.601824130449,-118.153846215029,census
FA0247940,33.846993864399,-118.124561763612,census
FA0296911,34.062460388834,-118.131038234788,census
FA0259909,33.838828848651,-118.390063604206,census
FA0039865,34.162888407689,-118.052693217021,census
